field,SiteID,Treatment,est,strip_ac
ARM-C,ARM,control,NA,0
ARM-T,ARM,strips,2014,1.9
EIA-C,EIA,control,NA,0
EIA-T,EIA,strips,2015,5.6
RHO-C,RHO,control,NA,0
RHO-T,RHO,strips,2015,2.6
WHI-C,WHI,control,NA,0
WHI-T,WHI,strips,2015,15.6
MCN-C,MCN,control,NA,0
MCN-T,MCN,strips,2014,5
WOR-C,WOR,control,NA,0
WOR-T,WOR,strips,2015,2.1
GUT-C,GUT,control,NA,0
GUT-T,GUT,strips,2014,5.3
NYK-C,NYK,control,NA,0
NYK-T,NYK,strips,2016,2.7
RDM-C,RDM,control,NA,0
RDM-T,RDM,strips,2016,12.64
SLO-C,SLO,control,NA,0
SLO-T,SLO,strips,2012,4.5
SMI-C,SMI,control,NA,0
SMI-T,SMI,strips,2015,4
STN-C,STN,control,NA,0
STN-T,STN,strips,2015,5.5
