Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.22,22.54
Strips,top,2,4.65,6.68
Strips,top,3,4.52,7.2
Strips,top,4,4.78,7.88
Strips,top,5,4.36,8.16
Strips,top,6,4.37,13.48
Strips,top,7,4.8,10.1
Strips,top,8,4.68,7.61
Strips,top,9,4.6,5
Strips,top,10,4.25,4.74
Strips,middle,11,4.38,6.52
Strips,middle,12,4.54,23.58
Strips,middle,13,4.62,14.01
Strips,middle,14,5.03,7.3
Strips,middle,15,4.43,27.41
Strips,middle,16,4.93,5.7
Strips,middle,17,4.62,5.38
Strips,middle,18,4.45,17.49
Strips,middle,19,10.4,63.01
Strips,middle,20,4.65,5.37
Strips,bottom,21,4.34,6.08
Strips,bottom,22,4.66,6.16
Strips,bottom,23,4.46,8.27
Strips,bottom,24,4.46,6.62
Strips,bottom,25,5.08,6.48
Strips,bottom,26,4.4,6.29
Strips,bottom,27,4.95,11.21
Strips,bottom,28,4.71,12.48
Strips,bottom,29,4.74,11.6
Strips,bottom,30,4.21,4.86
Control,top,1,4.99,6.32
Control,top,2,4.58,11.19
Control,top,3,4.82,9.79
Control,top,4,4.67,6.51
Control,top,5,5.07,10.03
Control,top,6,4.54,5.64
Control,top,7,4.18,6.03
Control,top,8,5.19,11.95
Control,top,9,4.46,5.52
Control,top,10,5.19,15.44
Control,middle,11,4.31,7.34
Control,middle,12,4.64,8.74
Control,middle,13,4.26,7.46
Control,middle,14,4.63,4.82
Control,middle,15,4.9,8.83
Control,middle,16,4.53,7.09
Control,middle,17,4.29,9.77
Control,middle,18,4.41,31.52
Control,middle,19,5.12,10.37
Control,middle,20,8.66,60.65
Control,bottom,21,4.42,4.73
Control,bottom,22,4.49,13.29
Control,bottom,23,5.08,19.31
Control,bottom,24,4.35,6.94
Control,bottom,25,4.65,9.37
Control,bottom,26,4.4,13.99
Control,bottom,27,5.03,7.61
Control,bottom,28,4.36,5.06
Control,bottom,29,4.71,6.72
Control,bottom,30,4.46,5.62
